Name ,HPG,STRG,MAGG,SKLG,SPDG,LCKG,DEFG,RESG,STRB,MAGB,SKLB,SPDB,LCKB,DEFB,RESB,sex,classP,class2
Rinkah,20,25,15,50,45,35,45,20,-1,0,-2,1,0,2,0,F,Oni Savage,Ninja
Sakura,45,30,50,40,40,55,30,20,0,2,-1,1,0,-1,0,F,Priestess/Monk,Sky Knight
Hana,25,55,10,45,55,25,20,30,1,0,1,2,-1,-3,1,F,Samurai,Priestess/Monk
Subaki,55,30,20,50,20,25,45,5,-1,0,2,-2,-1,3,-1,M,Sky Knight,Samurai
Saizo,40,50,45,60,30,55,45,10,1,0,3,-2,0,1,-2,M,Ninja,Samurai
Orochi,35,5,65,50,15,35,25,45,0,3,2,-2,-1,-2,1,F,Diviner,Apothecary
Hinoka,45,45,15,40,45,40,35,40,1,-1,-1,1,0,-1,2,F,Sky Knight,Lancer
Azama,55,50,20,40,45,40,40,20,2,-3,0,1,0,1,0,M,Priestess/Monk,Apothecary
Setsuna,30,20,0,30,60,30,15,40,0,0,1,3,-1,-1,-1,F,Archer,Ninja
Hayato,50,30,40,30,45,60,40,20,0,1,-1,2,1,-1,-1,M,Diviner,Oni Savage
Oboro,30,40,20,40,40,40,40,30,1,-1,1,1,-1,1,-1,F,Lancer,Apothecary
Hinata,55,35,0,25,15,45,45,15,1,0,-1,-2,0,2,0,M,Samurai,Oni Savage
Takumi,50,35,0,60,40,45,35,20,1,0,3,-2,1,0,-2,M,Archer,Lancer
Kagero,30,65,0,20,50,30,25,40,3,0,-1,-1,0,-1,1,F,Ninja,Diviner
Kaden,45,40,10,25,45,50,35,40,1,0,-3,2,1,-2,2,M,Kitsune,Diviner
Ryoma,50,45,0,50,45,40,35,25,1,0,2,1,1,-2,-2,M,Samurai,Sky Knight
Elise,30,5,65,25,55,70,15,40,-1,3,-2,1,1,-3,1,F,Troubadour,Wyvern Rider
Arthur,50,45,0,55,35,5,45,20,1,0,3,0,-3,1,-1,M,Fighter,Cavalier
Effie,35,60,0,35,50,50,35,30,3,0,-1,1,0,-1,-1,F,Knight,Troubadour
Odin,55,35,30,55,35,60,40,20,0,1,1,-1,1,0,-1,M,Dark Mage,Samurai
Niles,40,35,20,40,50,30,30,40,-2,0,-1,3,0,0,1,M,Outlaw,Dark Mage
Nyx,30,5,50,35,50,20,15,30,0,3,-2,2,-1,-2,1,F,Dark Mage,Outlaw
Camilla,40,50,25,50,55,25,35,45,1,-1,1,1,-2,1,0,F,Wyvern Rider,Dark Mage
Selena,40,30,5,25,45,30,45,30,-1,0,-1,2,0,1,0,F,Mercenary,Sky Knight
Beruka,45,30,10,55,30,45,40,25,-1,0,2,-2,0,2,-1,F,Wyvern Rider,Fighter
Laslow,50,45,0,45,30,55,35,25,1,0,2,-1,1,-1,-1,M,Mercenary,Ninja
Peri,30,50,5,30,50,35,25,45,1,0,-1,1,0,-2,2,F,Cavalier,Dark Mage
Benny,50,40,0,50,10,35,55,45,0,0,0,-3,0,3,1,M,Knight,Fighter
Charlotte,65,55,0,35,50,45,20,5,3,0,0,2,0,-2,-2,F,Fighter,Troubadour
Leo,45,25,55,35,45,45,30,45,-2,2,0,-2,0,0,2,M,Dark Mage,Troubadour
Keaton,60,60,0,20,35,30,50,25,3,0,-2,-1,0,2,-1,M,WolfSkin,Fighter
Xander,45,50,5,40,35,60,40,15,2,-1,-1,-1,2,1,-2,M,Cavalier,Wyvern Rider
Felicia,40,10,35,30,40,55,15,35,-2,2,0,1,0,-1,1,F,Troubadour,Mercenary
Jakob,50,30,15,40,35,45,25,25,2,-2,2,0,-1,,-1,M,Troubadour,Cavalier
Kaze,55,40,0,45,65,20,20,35,-2,0,2,3,-2,-1,1,M,Ninja,Samurai
Azura,25,50,25,60,60,40,15,35,0,0,1,3,0,-3,0,F,Singer,Sky Knight
Silas,40,45,5,50,40,40,40,25,1,0,2,0,-1,0,-1,M,Cavalier,Mercenary
Mozu,30,40,5,50,55,45,35,30,0,0,1,1,1,0,-2,F,Villager,Archer
