unit_name,class,description,men,guns,firepower,range,accuracy,reloading skill,ammo,strength,speed,value,defense,recruit_cost,upkeep_cost
Sakers,Fixed Artillery,"A saker is an old-fashioned style of light cannon, deployed in a fixed position.",24,4,21,400,40,30,,,,,3,660,160
Demi-Cannons,Fixed Artillery,"A demi-cannon is a heavy artillery piece from the previous century, deployed in a fixed battlefield position.",24,4,38,400,45,30,,,,,3,710,170
4-inch Mortar Battery,Fixed Artillery,"A mortar is a large calibre, fixed artillery piece that lobs an explosive shell in a high arc at the enemy.",24,4,42,750,15,5,,,,,3,950,230
Rocket Troop,Fixed Artillery,"War rockets are a terrifying device, capable of carrying different kinds of warhead and of causing utter panic in their targets.",24,4,6,750,15,5,,,,,3,1040,260
24-lber Foot Artillery,Artillery,Foot artillery batteries are the core of an army on campaign: the weapons that win battles and batter down walls.,24,4,84,500,55,35,,,,,4,610,240
12-lber Howitzer Foot Artillery,Artillery,"Howitzers send shells plunging into enemy formations and over defences, making cover irrelevant.",24,4,27,350,45,25,,,,,3,630,150
24-lber Howitzer Foot Artillery,Artillery,"Howitzers send shells plunging into enemy formations and over defences, making cover irrelevant.",24,4,40,350,40,25,,,,,3,650,160
12-lber Foot Artillery,Artillery,Foot artillery batteries are the core of an army on campaign: the weapons that win battles and batter down walls.,24,4,27,400,45,30,,,,,3,840,210
24-lber Foot Artillery,Artillery,Foot artillery batteries are the core of an army on campaign: the weapons that win battles and batter down walls.,24,4,42,400,55,30,,,,,3,890,220
Puckle Guns,Artillery,"The Puckle gun is a tripod-mounted repeating heavy musket or small cannon, capable of rapid fire.",24,4,0,150,40,25,,,,,3,1140,280
3-lber Horse Artillery,Horse Artillery,"Intended to keep up with rapidly-advancing mounted forces, horse artillery batteries have a touch of â€œcavalry dashâ€ù about them.",24,4,9,400,45,30,,,,,3,850,210
6-lber Horse Artillery,Horse Artillery,"Intended to keep up with rapidly-advancing mounted forces, horse artillery batteries have a touch of â€œcavalry dashâ€ù about them.",24,4,15,400,50,30,,,,,3,870,210
Heavy Cavalry,Heavy Cavalry,These cavalrymen see themselves as elite. It is their job to smash into enemy units and destroy them utterly.,60,,,0,0,0,0,16,14,10,9,1020,300
Life Guards,Heavy Cavalry,"The royal guard cavalrymen are all gentlemen, hand picked to protect the person of the sovereign.",60,,,0,0,0,0,19,17,15,12,1090,320
Horse Guards,Heavy Cavalry,"Horse Guards are an elite heavy cavalry unit, with a fierce reputation and deadly sabres.",60,,,0,0,0,0,21,19,13,13,1200,300
East India Company Lancers,Lancer Cavalry,These cavalrymen are armed with a long spear or lance that makes them particularly deadly when charging.,60,,,0,0,0,0,7,25,7,5,920,270
Colonial Light Cavalry,Light Cavalry,Light cavalry are used to screen an army and act as its eyes and ears; they can also pursue fleeing enemies and keep them from regrouping.,30,,,0,0,0,0,11,8,7,9,430,170
Mounted Tribal Auxiliary,Missile Cavalry,"These tribesmen are willing to fight for European gold, and a musket apiece.",60,,,70,35,20,20,6,7,5,5,890,260
Yeomanry,Cavalry,These locally recruited cavalry are a valuable aid in keeping order.,60,,,0,0,0,0,9,11,5,5,900,270
Regiment of Horse,Cavalry,"These cavalry are shock troops, intended to charge into melee and deliver terrible blows with their straight swords.",60,,,0,0,0,0,11,12,8,7,940,280
East India Company Cavalry,Cavalry,"Recruited to fight in India, company cavalry are mercenaries fighting for the great trading companies.",60,,,0,0,0,0,11,12,8,7,950,280
Native Indian Cavalry,Cavalry,Sipahis are superb horsemen and their ornate lances are deadly when brought to bear at the charge.,60,,,0,0,0,0,9,21,13,8,1020,300
General's Bodyguard,General,These tough warriors and soldiers have only one task: keeping their commander alive and well in the swirling chaos of battle.,32,,,0,0,0,0,9,14,10,10,1290,90
Colonial Dragoons,Dragoons,"Despite appearances, dragoons are not really cavalry but mounted line infantry, riding into a battle then fighting on foot.",80,,,70,40,25,15,7,10,6,5,950,280
Dragoons,Dragoons,"Despite appearances, dragoons are not really cavalry but mounted line infantry, riding into a battle then fighting on foot.",80,,,70,40,25,15,7,10,6,5,950,280
Light Dragoons,Dragoons,"Light dragoons are mounted skirmishers, riding to a fight then engaging the enemy on foot.",80,,,70,50,25,20,7,10,6,5,980,290
Coldstream Guards,Elite Infantry,The reputation of these elite soldiers and the example they set provides encouragement to comrades nearby.,160,,,70,50,65,15,7,11,18,11,1190,290
Guards,Elite Infantry,The elite foot guards are charged with protecting the persons of the monarch and the royal family.,160,,,70,50,55,15,9,13,18,11,1200,300
Republican Guard,Elite Infantry,"The Republican Guard are the elite of the nation, proud to fight for their people and unwavering in the defence of their hard-won liberties.",160,,,70,50,55,15,9,13,18,11,1200,300
The Black Watch,Elite Infantry,The reputation of these elite soldiers and the example they set provides encouragement to comrades nearby.,160,,,70,50,40,15,9,17,17,11,1220,300
Grenadiers,Grenadiers,"Grenadiers are large, strong men, armed with muskets and carrying bags of bombs to hurl at the enemyâ€™s ranks.",80,,,70,45,35,15,10,14,16,8,910,220
Pandours,Irregulars,"These irregular troops are often poorly equipped and ill-disciplined, but they can be a very effective, mobile â€œmobâ€ù.",80,,,90,35,5,20,7,8,2,3,380,90
Native Musketmen Auxiliary,Irregulars,"These tribesmen are willing to fight for European gold, and a musket apiece.",80,,,90,35,15,15,8,6,3,5,400,100
Native American Musketeers,Irregulars,"These tribesmen are willing to fight for European gold, and a musket apiece.",180,,,70,30,10,5,6,4,2,5,520,200
Light Infantry,Light Infantry,Light infantry are skirmishers who harass the enemy while screening the main body of an army.,80,,,90,55,30,20,5,4,6,6,460,110
Colonial Light Infantry,Light Infantry,Light infantry are skirmishers who harass the enemy while screening the main body of an army.,80,,,90,55,30,20,5,4,6,6,460,110
Chasseurs Britanniques,Light Infantry,Expatriate infantry are exiles in another nationâ€™s service: men with nothing left to lose but their lives.,80,,,90,50,35,20,5,4,7,4,500,120
Green Jackets,Light Infantry,"Riflemen are skirmishers and snipers without peer, picking off leaders to sow confusion in enemy ranks.",80,,,125,70,35,20,4,8,12,7,680,170
Ferguson Riflemen,Light Infantry,"Ferguson Riflemen are scouts and snipers, who harass the enemy by targeting officers and leaders.",80,,,125,70,35,20,4,6,10,7,840,210
Line Infantry,Line Infantry,"These musket-armed troops use massed volleys to break an enemy, relying on discipline to withstand any counter fire.",160,,,70,45,25,15,8,5,14,9,720,280
